Finca,Descripcion,K_USLE,pH,C_Oxid,MO,P.BrayII,Ca,Mg,K,CIC,Fe,Mn,Cu,Zn,B,S,CE,N_Total,D_APAREN,D_REAL,POROSIDAD,Macroporos,Mesoporos,Microporos,Hum_campo,Hum_grav_Sat,Hum_vol_Sat,C.C,PMP,CHS,Infiltracion,LAA,X_.6.3.mm,X_6.4mm,X_4.2mm,X_2.1mm,X_1.0.5mm,X_0.5.0.25mm,X_0.25.0.125mm,X_.0.125mm,Est_agre_sin_arenas,Arcilla,Limo,Arena,Ind_plast,MO.75um,MO.53um,MO.53um.1
Finca1,CAR001,0.144682222,4.44,2.373,5.512,4.87,0.77,0.27,0.07,17.66,47.99,12.13,0.828,1.622,0.792,29.68,0.21,1487.8,1.06294886,2.501368792,57.50531214,18.06538032,13.75600723,25.68392459,13.58803459,50.51376656,53.69355059,39.43993182,25.68392459,110.1802322,174.114603,14.6219322,15.77714825,20.79792257,25.05193579,18.26723324,10.47403211,4.651558074,2.746931067,2.233238905,2.65,48.92,41.65,9.44,16.55,27.37,24.27,30.48
Finca1,CAR002,0.110084294,4.4,2.705,6.285,3.61,1.39,0.95,0.46,20.08,16,6.441,0.028,0.283,0.519,23.69,3.2,1478.8,0.96644105,2.439475399,60.38324264,20.32074691,13.5423401,26.52015563,24.4729922,55.83049532,53.95688251,40.06249573,26.52015563,39.9253544,64.36944893,13.08787338,10.07417297,18.1479009,26.24091381,18.07150274,12.49517876,7.100578549,4.670672007,3.199080255,3.1,53.48,39.5,7.02,17.63,31.91,28.2,32.19
Finca1,CAR003,0.09174021,5.09,3.182,7.392,7.96,1.66,0.29,0.42,24.36,11.74,4.392,0.582,2.165,0.966,31.87,0.5,1593.6,1.055747885,2.48557497,57.52500333,14.18026269,15.94027747,27.40446317,17.517683,53.89235341,56.89673815,43.34474065,27.40446317,26.01081289,41.22181458,16.82891424,15.80957079,22.13418846,26.83867785,16.200296,9.316230883,4.55648742,2.658115442,2.486433152,3.16,53.29,38.8,7.91,21.38,42.92,38.91,41.92
Finca1,CAR004,0.115240767,5.41,2.698,6.269,2.88,2.74,1.32,0.81,24.45,31.42,15.15,0.441,1.814,1.142,25.04,0.19,1870.4,0.883187157,2.522616792,64.98924609,22.17912941,16.60872359,26.20139309,21.08959196,70.12123004,61.93016981,42.81011668,26.20139309,88.16102168,143.2616602,14.66861137,23.48906021,23.33548341,21.76388078,14.35328808,8.051519898,4.380010443,2.68657022,1.940186954,3,52.62,40.82,6.55,23.09,38.66,37.68,40.98
Finca1,CAR005,0.203087614,5.03,2.496,5.799,1.75,0.49,0.73,0.09,22.04,57.01,15.98,0.255,1.494,0.711,22.45,0.1,1873,1.167558612,2.384643351,51.03843884,6.106178839,15.1439145,29.78834551,12.33160999,47.4878031,55.4447935,44.93226001,29.78834551,4.776181401,7.641890242,17.6814078,23.18827385,24.74417334,26.35469774,12.87144938,5.529861617,2.537327021,1.817188638,2.957028405,3.09,49.91,43.68,6.41,18.61,33.95,28.41,33.14
Finca1,CAR006,0.139745814,5.16,2.812,6.533,2.02,1.54,1.48,0.15,27.49,15.76,5.282,0.267,0.47,0.819,28.47,0.2,2351.8,0.942390496,2.356239092,60.00446225,13.56806556,19.19691896,27.23947774,13.909205,66.63348769,62.79476549,46.43639669,27.23947774,10.36934101,16.45701675,18.09099397,9.260579901,19.45388008,29.6349817,18.82424697,10.53016796,5.549404148,3.524444027,3.222295205,2.94,53.73,40.89,5.38,20.17,40.95,37.23,38.83
Finca1,CAR007,0.211947346,5.18,3.026,7.03,1.13,1.34,1.86,0.97,27.98,10.99,6.931,0.239,0.889,0.587,27.74,0.24,2756.1,1.009134673,2.384325428,57.67630284,4.099397633,16.59973139,36.97717382,23.76426645,62.27640589,62.84528052,53.57690521,36.97717382,0,0,16.75136451,17.76324778,24.14853128,26.73855763,14.17780814,7.11622914,3.819654533,2.868156534,3.36781497,3.12,68.86,24.74,6.4,20.35,42.15,38.21,43.5
Finca1,CAR008,0.193745952,5.28,3.37,7.83,1.69,4.88,3.34,0.48,25.79,18.08,5.826,0.239,0.448,0.842,30.13,0.42,3135.9,0.870658431,2.647741593,67.11694097,31.36516244,10.62344703,25.1283315,14.12455876,64.86880107,56.47856856,35.75177853,25.1283315,0.594545403,0.951272644,9.24939372,18.0234059,25.5055503,26.8574133,14.02547113,6.774804234,3.523793133,2.516134584,2.773427416,3.32,60.82,32.97,6.21,20.08,50.69,46.06,48
Finca1,CAR009,0.090399062,5.19,4.019,9.337,2.93,0.97,1.58,0.98,29.3,5.866,7.658,0.129,1.28,0.986,39.03,0.83,3262.9,0.865485349,2.515303749,65.59121938,21.73739984,11.18170063,32.67211891,27.81544847,68.84968992,59.5883979,43.85381954,32.67211891,14.95193389,23.78181611,9.67759807,5.590818056,14.46541365,27.05823448,18.30765676,12.41411185,7.275458327,5.996764751,8.891542135,3.1,41.55,50.11,8.34,21.35,46.28,37.62,39.88
Finca1,CAR010,0.078625103,4.98,2.439,5.665,1.09,1.26,1.5,0.8,22.29,13.94,6.357,0.254,0.758,0.359,25.07,1.54,1796.3,1.033444049,2.415920639,57.22359285,10.6999534,10.91554051,35.60809894,23.29911964,57.92729928,59.86462271,46.52363945,35.60809894,100.2442937,160.5114042,11.28060038,22.51934327,28.87809021,23.15531232,13.17701453,6.481411587,2.909039441,1.675787885,1.204000755,5.27,63.4,32.18,4.42,24.51,39.49,38.86,42.83
Finca1,CAR011,0.127501936,5.96,3.361,7.807,0.8,3.21,2.21,2.15,34.81,3.169,6.003,0.064,0.919,0.592,35.13,0.21,2651.1,0.822941958,2.262911206,63.63348433,18.56389756,23.00110324,22.06848352,19.65283832,66.92990103,55.07942382,45.06958676,22.06848352,15.96037168,25.36727051,18.92857295,10.02633119,15.87965672,22.99297835,18.22605812,12.93739029,8.477667252,7.006046421,4.45387166,3.25,43.33,50.75,5.93,20.11,51.82,46.32,47.59
Finca1,CAR012,0.067303235,5.46,2.133,4.956,0.53,1.4,1.33,0.65,22.38,17.7,4.117,0.163,1.415,0.441,17.14,0.12,1497.5,0.905724427,2.450020008,63.03195794,13.06277714,17.10259942,32.86658138,24.43725995,76.94832029,69.69397331,49.9691808,32.86658138,111.7226018,177.5708936,15.49024206,18.6807039,21.222663,23.31095514,19.82606042,9.365273116,3.976197742,2.17271895,1.445427729,3.04,67.78,27.29,4.93,19.91,31.56,29.91,32.48
