plot_name,accession_name,DM_raw,DM_gravity,DM_nirs
202109DVGN6_momi_rep1_ARG55_83,ARG55,39.41,35.6,38.9
202109DVGN6_momi_rep1_ARG65_42,ARG65,37.92,34.3,38.8
202109DVGN6_momi_rep1_ARG67_107,ARG67,35.26,34.2,34.1
202109DVGN6_momi_rep1_BOL1_135,BOL1,30.72,30.1,30.8
202109DVGN6_momi_rep1_BRA1001_71,BRA1001,37.28,34.1,36.3
202109DVGN6_momi_rep1_BRA1081_11,BRA1081,32.3,32.4,33.6
202109DVGN6_momi_rep1_BRA108_18,BRA108,38.99,38.2,38
202109DVGN6_momi_rep1_BRA1132_127,BRA1132,34.82,31.6,35.1
202109DVGN6_momi_rep1_BRA1139_97,BRA1139,31.02,28.9,31
202109DVGN6_momi_rep1_BRA1177_35,BRA1177,38.29,31.6,39.1
202109DVGN6_momi_rep1_BRA1243_28,BRA1243,37.45,35,35.7
202109DVGN6_momi_rep1_BRA130_74,BRA130,40.54,33.7,39.9
202109DVGN6_momi_rep1_BRA1310_102,BRA1310,41.41,36,39.9
202109DVGN6_momi_rep1_BRA136_46,BRA136,26.13,28.7,28.1
202109DVGN6_momi_rep1_BRA1410_43,BRA1410,30.74,33.9,32.8
202109DVGN6_momi_rep1_BRA144_113,BRA144,40.78,37,40.8
202109DVGN6_momi_rep1_BRA147_110,BRA147,35.59,33.4,34.4
202109DVGN6_momi_rep1_BRA162_73,BRA162,37.02,34,37.5
202109DVGN6_momi_rep1_BRA163_31,BRA163,40.34,37,39.3
202109DVGN6_momi_rep1_BRA190_30,BRA190,35.6,30,31
202109DVGN6_momi_rep1_BRA1A_121,BRA1A,41.38,34.7,42.3
202109DVGN6_momi_rep1_BRA222_14,BRA222,39.89,37.9,40.2
202109DVGN6_momi_rep1_BRA223_20,BRA223,41.69,38.9,40.7
202109DVGN6_momi_rep1_BRA254_37,BRA254,30.43,31.2,31.8
202109DVGN6_momi_rep1_BRA327_22,BRA327,34.6,34,35.8
202109DVGN6_momi_rep1_BRA334_132,BRA334,39.81,33.9,38.5
202109DVGN6_momi_rep1_BRA335_32,BRA335,39.61,39.4,42.3
202109DVGN6_momi_rep1_BRA512_29,BRA512,32.88,33.6,35.3
202109DVGN6_momi_rep1_BRA563_26,BRA563,35.86,32.1,36.1
202109DVGN6_momi_rep1_BRA707_117,BRA707,28.73,27.1,32.1
202109DVGN6_momi_rep1_BRA787_103,BRA787,37.36,33.9,36.4
202109DVGN6_momi_rep1_BRA872_116,BRA872,NA,34.3,23.9
202109DVGN6_momi_rep1_BRA890_88,BRA890,37.18,35.4,36.5
202109DVGN6_momi_rep1_BRA894_7,BRA894,30.86,32.8,31.3
202109DVGN6_momi_rep1_BRA899_126,BRA899,38.71,34.2,38
202109DVGN6_momi_rep1_BRA93_50,BRA93,38.78,34.7,38.7
202109DVGN6_momi_rep1_BRA974_115,BRA974,30.73,31.4,32.4
202109DVGN6_momi_rep1_CG1141-1_52,CG1141-1_is_Costena,37.92,35.6,37.3
202109DVGN6_momi_rep1_CM4919-1_100,CM4919-1_is_Veronica,39.18,37.3,39.1
202109DVGN6_momi_rep1_COL1030_21,COL1030,29.81,28.3,30.5
202109DVGN6_momi_rep1_COL1185_119,COL1185,36.05,32.5,34.6
202109DVGN6_momi_rep1_COL1292_2,COL1292,37.19,31.9,36
202109DVGN6_momi_rep1_COL1326_120,COL1326,31.34,30.5,31.8
202109DVGN6_momi_rep1_COL1357_111,COL1357,41.94,36.1,40.8
202109DVGN6_momi_rep1_COL1389_133,COL1389,37.25,34.1,37.6
202109DVGN6_momi_rep1_COL1398_58,COL1398,34.37,31.9,34.4
202109DVGN6_momi_rep1_COL1489_8,COL1489,32.14,27.3,32
202109DVGN6_momi_rep1_COL1490_92,COL1490,31.81,30.8,32.3
